County	Collections	Data_Period_Business_Key
Duplin	1768284.0	2019M08
Duplin	1755927.0	2019M09
Duplin	1739366.0	2019M10
Duplin	1764832.0	2019M11
Duplin	1699908.0	2019M12
Duplin	1961996.0	2020M01
Duplin	1636457.0	2020M02
Durham	29891421.0	2018M10
Durham	31566396.0	2018M11
Durham	30951470.0	2018M12
Durham	33726344.0	2019M01
Durham	28827684.0	2019M02
Durham	28268554.0	2019M03
Durham	33123461.0	2019M04
Durham	31374610.0	2019M05
Durham	32397608.0	2019M06
Durham	33416382.0	2019M07
Durham	31338015.0	2019M08
Durham	32295945.0	2019M09
Durham	33786038.0	2019M10
Durham	33171859.0	2019M11
Durham	32522117.0	2019M12
Durham	36329048.0	2020M01
Durham	30573519.0	2020M02
Edgecombe	1545019.0	2018M10
Edgecombe	1684116.0	2018M11
Edgecombe	1548579.0	2018M12
Edgecombe	2067744.0	2019M01
Edgecombe	1399728.0	2019M02
Edgecombe	1489431.0	2019M03
Edgecombe	1886337.0	2019M04
Edgecombe	1717416.0	2019M05
Edgecombe	2585075.0	2019M06
Edgecombe	2750909.0	2019M07
Edgecombe	2558432.0	2019M08
Edgecombe	2472883.0	2019M09
Edgecombe	2453926.0	2019M10
Edgecombe	2472298.0	2019M11
Edgecombe	2803308.0	2019M12
Edgecombe	2853346.0	2020M01
Edgecombe	2396950.0	2020M02
Foreign	39034463.0	2018M10
Foreign	31126601.0	2018M11
Foreign	30273400.0	2018M12
Foreign	35816594.0	2019M01
Foreign	25660168.0	2019M02
Foreign	31281585.0	2019M03
Foreign	37685021.0	2019M04
Foreign	29120129.0	2019M05
Foreign	32084139.0	2019M06
Foreign	37638773.0	2019M07
Foreign	33592137.0	2019M08
Foreign	33699591.0	2019M09
Foreign	33927128.0	2019M10
Foreign	31077675.0	2019M11
Foreign	34068161.0	2019M12
Foreign	37396616.0	2020M01
Foreign	30551789.0	2020M02
Forsyth	22525919.0	2018M10
Forsyth	21905827.0	2018M11
Forsyth	23220626.0	2018M12
Forsyth	26170805.0	2019M01
Forsyth	21028081.0	2019M02
Forsyth	19165903.0	2019M03
Forsyth	24155463.0	2019M04
Forsyth	23886582.0	2019M05
Forsyth	23617204.0	2019M06
Forsyth	23900102.0	2019M07
Forsyth	22701267.0	2019M08
Forsyth	23753865.0	2019M09
Forsyth	23650707.0	2019M10
Forsyth	22919049.0	2019M11
Forsyth	23465491.0	2019M12
Forsyth	27574259.0	2020M01
Forsyth	21561822.0	2020M02
Franklin	1627623.0	2018M10
Franklin	1872440.0	2018M11
Franklin	1785232.0	2018M12
Franklin	1849657.0	2019M01
Franklin	1617476.0	2019M02
Franklin	1591501.0	2019M03
Franklin	1944051.0	2019M04
Franklin	1878194.0	2019M05
Franklin	1976245.0	2019M06
Franklin	1878114.0	2019M07
Franklin	1839468.0	2019M08
Franklin	2048978.0	2019M09
Franklin	1988078.0	2019M10
Franklin	1998626.0	2019M11
Franklin	1906120.0	2019M12
Franklin	2034928.0	2020M01
Franklin	1910100.0	2020M02
Gaston	8887430.0	2018M10
Gaston	9779095.0	2018M11
Gaston	9443366.0	2018M12
Gaston	11333659.0	2019M01
Gaston	9097400.0	2019M02
Gaston	9005933.0	2019M03
Gaston	11058869.0	2019M04
Gaston	10226277.0	2019M05
Gaston	10588055.0	2019M06
Gaston	11036575.0	2019M07
Gaston	9688221.0	2019M08
Gaston	10247280.0	2019M09
Gaston	10734154.0	2019M10
Gaston	10415057.0	2019M11
Gaston	10638046.0	2019M12
Gaston	12384500.0	2020M01
Gaston	9564774.0	2020M02
Gates	140698.0	2018M10
Gates	146967.0	2018M11
Gates	152072.0	2018M12
Gates	166793.0	2019M01
Gates	136535.0	2019M02
Gates	136843.0	2019M03
Gates	179027.0	2019M04
Gates	157354.0	2019M05
Gates	184379.0	2019M06
Gates	161009.0	2019M07
Gates	153856.0	2019M08
Gates	151166.0	2019M09
Gates	197908.0	2019M10
Gates	156879.0	2019M11
Gates	148341.0	2019M12
Gates	199647.0	2020M01
Gates	163002.0	2020M02
Graham	320833.0	2018M10
Graham	296044.0	2018M11
Graham	255739.0	2018M12
Graham	330852.0	2019M01
Graham	197867.0	2019M02
Graham	236093.0	2019M03
Graham	295377.0	2019M04
Graham	293774.0	2019M05
Graham	317946.0	2019M06
Graham	389208.0	2019M07
Graham	351996.0	2019M08
Graham	407743.0	2019M09
Graham	356761.0	2019M10
Graham	358374.0	2019M11
Graham	321500.0	2019M12
Graham	313822.0	2020M01
Graham	240611.0	2020M02
Granville	1423443.0	2018M10
Granville	1435070.0	2018M11
Granville	1540762.0	2018M12
Granville	1601682.0	2019M01
Granville	1276884.0	2019M02
Granville	1375376.0	2019M03
Granville	1583876.0	2019M04
Granville	1568817.0	2019M05
Granville	1570004.0	2019M06
Granville	1736017.0	2019M07
Granville	1595370.0	2019M08
Granville	1511359.0	2019M09
Granville	1680417.0	2019M10
Granville	1538027.0	2019M11
Granville	1538737.0	2019M12
Granville	1737275.0	2020M01
Granville	1461779.0	2020M02
Greene	265851.0	2018M10
Greene	296020.0	2018M11
Greene	295271.0	2018M12
Greene	332405.0	2019M01
Greene	278178.0	2019M02
Greene	290721.0	2019M03
Greene	306308.0	2019M04
Greene	284942.0	2019M05
Greene	326860.0	2019M06
Greene	349468.0	2019M07
Greene	298351.0	2019M08
Greene	300459.0	2019M09
Greene	315785.0	2019M10
Greene	374048.0	2019M11
Greene	384654.0	2019M12
Greene	387891.0	2020M01
Greene	322503.0	2020M02
Guilford	30568244.0	2018M10
Guilford	31543165.0	2018M11
Guilford	31673609.0	2018M12
Guilford	35594178.0	2019M01
Guilford	28071151.0	2019M02
Guilford	29192142.0	2019M03
Guilford	34408199.0	2019M04
Guilford	32887419.0	2019M05
Guilford	32345791.0	2019M06
