	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
232	39021	ChampaignCounty	Management of companies and enterprises	2001	
233	39021	ChampaignCounty	Administrative and support and waste management and remediation services	2001	7884.0
234	39021	ChampaignCounty	Educational services	2001	
235	39021	ChampaignCounty	Health care and social assistance	2001	
236	39021	ChampaignCounty	Arts, entertainment, and recreation	2001	4227.0
237	39021	ChampaignCounty	Accommodation and food services	2001	15556.0
238	39021	ChampaignCounty	Other services (except government and government enterprises)	2001	22925.0
239	39021	ChampaignCounty	Government and government enterprises	2001	99494.0
240	39023	ClarkCounty	Agriculture, forestry, fishing and hunting	2001	
241	39023	ClarkCounty	Mining, quarrying, and oil and gas extraction	2001	3237.0
242	39023	ClarkCounty	Utilities	2001	16909.0
243	39023	ClarkCounty	Construction	2001	105789.0
244	39023	ClarkCounty	Manufacturing	2001	964123.0
245	39023	ClarkCounty	Wholesale trade	2001	142884.0
246	39023	ClarkCounty	Retail trade	2001	294314.0
247	39023	ClarkCounty	Transportation and warehousing	2001	
248	39023	ClarkCounty	Information	2001	40117.0
249	39023	ClarkCounty	Finance and insurance	2001	153930.0
250	39023	ClarkCounty	Real estate and rental and leasing	2001	401519.0
251	39023	ClarkCounty	Professional and business services	2001	201243.0
252	39023	ClarkCounty	Management of companies and enterprises	2001	70568.0
253	39023	ClarkCounty	Administrative and support and waste management and remediation services	2001	57736.0
254	39023	ClarkCounty	Educational services	2001	36045.0
255	39023	ClarkCounty	Health care and social assistance	2001	338995.0
256	39023	ClarkCounty	Arts, entertainment, and recreation	2001	15037.0
257	39023	ClarkCounty	Accommodation and food services	2001	83859.0
258	39023	ClarkCounty	Other services (except government and government enterprises)	2001	130040.0
259	39023	ClarkCounty	Government and government enterprises	2001	422323.0
260	39025	ClermontCounty	Agriculture, forestry, fishing and hunting	2001	12460.0
261	39025	ClermontCounty	Mining, quarrying, and oil and gas extraction	2001	763.0
262	39025	ClermontCounty	Utilities	2001	641948.0
263	39025	ClermontCounty	Construction	2001	284714.0
264	39025	ClermontCounty	Manufacturing	2001	697785.0
265	39025	ClermontCounty	Wholesale trade	2001	285650.0
266	39025	ClermontCounty	Retail trade	2001	385585.0
267	39025	ClermontCounty	Transportation and warehousing	2001	47187.0
268	39025	ClermontCounty	Information	2001	196667.0
269	39025	ClermontCounty	Finance and insurance	2001	299160.0
270	39025	ClermontCounty	Real estate and rental and leasing	2001	488915.0
271	39025	ClermontCounty	Professional and business services	2001	287642.0
272	39025	ClermontCounty	Management of companies and enterprises	2001	25827.0
273	39025	ClermontCounty	Administrative and support and waste management and remediation services	2001	78334.0
274	39025	ClermontCounty	Educational services	2001	11946.0
275	39025	ClermontCounty	Health care and social assistance	2001	169101.0
276	39025	ClermontCounty	Arts, entertainment, and recreation	2001	20858.0
277	39025	ClermontCounty	Accommodation and food services	2001	92262.0
278	39025	ClermontCounty	Other services (except government and government enterprises)	2001	135560.0
279	39025	ClermontCounty	Government and government enterprises	2001	381163.0
280	39027	ClintonCounty	Agriculture, forestry, fishing and hunting	2001	23340.0
281	39027	ClintonCounty	Mining, quarrying, and oil and gas extraction	2001	286.0
282	39027	ClintonCounty	Utilities	2001	585.0
