	GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
221	37021	BuncombeCounty	Western	Mountain Area	Mining, quarrying, and oil and gas extraction	2001	12454.0
222	37021	BuncombeCounty	Western	Mountain Area	Utilities	2001	104923.0
223	37021	BuncombeCounty	Western	Mountain Area	Construction	2001	422459.0
224	37021	BuncombeCounty	Western	Mountain Area	Manufacturing	2001	1194852.0
225	37021	BuncombeCounty	Western	Mountain Area	Wholesale trade	2001	291983.0
226	37021	BuncombeCounty	Western	Mountain Area	Retail trade	2001	523648.0
227	37021	BuncombeCounty	Western	Mountain Area	Transportation and warehousing	2001	218885.0
228	37021	BuncombeCounty	Western	Mountain Area	Information	2001	145754.0
229	37021	BuncombeCounty	Western	Mountain Area	Finance and insurance	2001	382178.0
230	37021	BuncombeCounty	Western	Mountain Area	Real estate and rental and leasing	2001	668629.0
231	37021	BuncombeCounty	Western	Mountain Area	Professional and business services	2001	501346.0
232	37021	BuncombeCounty	Western	Mountain Area	Management of companies and enterprises	2001	64371.0
233	37021	BuncombeCounty	Western	Mountain Area	Administrative and support and waste management and remediation services	2001	161288.0
234	37021	BuncombeCounty	Western	Mountain Area	Educational services	2001	57537.0
235	37021	BuncombeCounty	Western	Mountain Area	Health care and social assistance	2001	791207.0
236	37021	BuncombeCounty	Western	Mountain Area	Arts, entertainment, and recreation	2001	57781.0
237	37021	BuncombeCounty	Western	Mountain Area	Accommodation and food services	2001	291855.0
238	37021	BuncombeCounty	Western	Mountain Area	Other services (except government and government enterprises)	2001	194957.0
239	37021	BuncombeCounty	Western	Mountain Area	Government and government enterprises	2001	828638.0
240	37023	BurkeCounty	Northwest	Western Piedmont	Agriculture, forestry, fishing and hunting	2001	38660.0
241	37023	BurkeCounty	Northwest	Western Piedmont	Mining, quarrying, and oil and gas extraction	2001	2663.0
242	37023	BurkeCounty	Northwest	Western Piedmont	Utilities	2001	2932.0
243	37023	BurkeCounty	Northwest	Western Piedmont	Construction	2001	66917.0
244	37023	BurkeCounty	Northwest	Western Piedmont	Manufacturing	2001	840767.0
245	37023	BurkeCounty	Northwest	Western Piedmont	Wholesale trade	2001	71506.0
246	37023	BurkeCounty	Northwest	Western Piedmont	Retail trade	2001	119325.0
247	37023	BurkeCounty	Northwest	Western Piedmont	Transportation and warehousing	2001	28766.0
248	37023	BurkeCounty	Northwest	Western Piedmont	Information	2001	11418.0
249	37023	BurkeCounty	Northwest	Western Piedmont	Finance and insurance	2001	67734.0
250	37023	BurkeCounty	Northwest	Western Piedmont	Real estate and rental and leasing	2001	190251.0
251	37023	BurkeCounty	Northwest	Western Piedmont	Professional and business services	2001	84380.0
252	37023	BurkeCounty	Northwest	Western Piedmont	Management of companies and enterprises	2001	23289.0
253	37023	BurkeCounty	Northwest	Western Piedmont	Administrative and support and waste management and remediation services	2001	25167.0
254	37023	BurkeCounty	Northwest	Western Piedmont	Educational services	2001	4419.0
255	37023	BurkeCounty	Northwest	Western Piedmont	Health care and social assistance	2001	165260.0
256	37023	BurkeCounty	Northwest	Western Piedmont	Arts, entertainment, and recreation	2001	3635.0
257	37023	BurkeCounty	Northwest	Western Piedmont	Accommodation and food services	2001	40305.0
258	37023	BurkeCounty	Northwest	Western Piedmont	Other services (except government and government enterprises)	2001	54565.0
259	37023	BurkeCounty	Northwest	Western Piedmont	Government and government enterprises	2001	386348.0
260	37025	CabarrusCounty	Southwest	Centralina	Agriculture, forestry, fishing and hunting	2001	21246.0
261	37025	CabarrusCounty	Southwest	Centralina	Mining, quarrying, and oil and gas extraction	2001	10665.0
262	37025	CabarrusCounty	Southwest	Centralina	Utilities	2001	15251.0
263	37025	CabarrusCounty	Southwest	Centralina	Construction	2001	262877.0
264	37025	CabarrusCounty	Southwest	Centralina	Manufacturing	2001	2146260.0
265	37025	CabarrusCounty	Southwest	Centralina	Wholesale trade	2001	222029.0
266	37025	CabarrusCounty	Southwest	Centralina	Retail trade	2001	287571.0
267	37025	CabarrusCounty	Southwest	Centralina	Transportation and warehousing	2001	104984.0
268	37025	CabarrusCounty	Southwest	Centralina	Information	2001	123053.0
269	37025	CabarrusCounty	Southwest	Centralina	Finance and insurance	2001	147544.0
270	37025	CabarrusCounty	Southwest	Centralina	Real estate and rental and leasing	2001	417198.0
271	37025	CabarrusCounty	Southwest	Centralina	Professional and business services	2001	244371.0
272	37025	CabarrusCounty	Southwest	Centralina	Management of companies and enterprises	2001	44385.0
273	37025	CabarrusCounty	Southwest	Centralina	Administrative and support and waste management and remediation services	2001	85898.0
274	37025	CabarrusCounty	Southwest	Centralina	Educational services	2001	14067.0
275	37025	CabarrusCounty	Southwest	Centralina	Health care and social assistance	2001	165524.0
276	37025	CabarrusCounty	Southwest	Centralina	Arts, entertainment, and recreation	2001	126791.0
277	37025	CabarrusCounty	Southwest	Centralina	Accommodation and food services	2001	94764.0
278	37025	CabarrusCounty	Southwest	Centralina	Other services (except government and government enterprises)	2001	93199.0
279	37025	CabarrusCounty	Southwest	Centralina	Government and government enterprises	2001	508548.0
280	37027	CaldwellCounty	Northwest	Western Piedmont	Agriculture, forestry, fishing and hunting	2001	28139.0
281	37027	CaldwellCounty	Northwest	Western Piedmont	Mining, quarrying, and oil and gas extraction	2001	2341.0
282	37027	CaldwellCounty	Northwest	Western Piedmont	Utilities	2001	11463.0
283	37027	CaldwellCounty	Northwest	Western Piedmont	Construction	2001	77909.0
284	37027	CaldwellCounty	Northwest	Western Piedmont	Manufacturing	2001	677815.0
285	37027	CaldwellCounty	Northwest	Western Piedmont	Wholesale trade	2001	164852.0
286	37027	CaldwellCounty	Northwest	Western Piedmont	Retail trade	2001	112484.0
287	37027	CaldwellCounty	Northwest	Western Piedmont	Transportation and warehousing	2001	77948.0
288	37027	CaldwellCounty	Northwest	Western Piedmont	Information	2001	16950.0
289	37027	CaldwellCounty	Northwest	Western Piedmont	Finance and insurance	2001	63002.0
290	37027	CaldwellCounty	Northwest	Western Piedmont	Real estate and rental and leasing	2001	158801.0
291	37027	CaldwellCounty	Northwest	Western Piedmont	Professional and business services	2001	107876.0
292	37027	CaldwellCounty	Northwest	Western Piedmont	Management of companies and enterprises	2001	
293	37027	CaldwellCounty	Northwest	Western Piedmont	Administrative and support and waste management and remediation services	2001	20609.0
294	37027	CaldwellCounty	Northwest	Western Piedmont	Educational services	2001	2254.0
295	37027	CaldwellCounty	Northwest	Western Piedmont	Health care and social assistance	2001	106071.0
296	37027	CaldwellCounty	Northwest	Western Piedmont	Arts, entertainment, and recreation	2001	4558.0
297	37027	CaldwellCounty	Northwest	Western Piedmont	Accommodation and food services	2001	26994.0
298	37027	CaldwellCounty	Northwest	Western Piedmont	Other services (except government and government enterprises)	2001	55431.0
299	37027	CaldwellCounty	Northwest	Western Piedmont	Government and government enterprises	2001	176757.0
300	37029	CamdenCounty	Northeast	Northeastern	Agriculture, forestry, fishing and hunting	2001	9441.0
301	37029	CamdenCounty	Northeast	Northeastern	Mining, quarrying, and oil and gas extraction	2001	0.0
302	37029	CamdenCounty	Northeast	Northeastern	Utilities	2001	216.0
303	37029	CamdenCounty	Northeast	Northeastern	Construction	2001	5277.0
304	37029	CamdenCounty	Northeast	Northeastern	Manufacturing	2001	18128.0
305	37029	CamdenCounty	Northeast	Northeastern	Wholesale trade	2001	2953.0
306	37029	CamdenCounty	Northeast	Northeastern	Retail trade	2001	7383.0
307	37029	CamdenCounty	Northeast	Northeastern	Transportation and warehousing	2001	
308	37029	CamdenCounty	Northeast	Northeastern	Information	2001	9526.0
309	37029	CamdenCounty	Northeast	Northeastern	Finance and insurance	2001	3490.0
310	37029	CamdenCounty	Northeast	Northeastern	Real estate and rental and leasing	2001	15138.0
311	37029	CamdenCounty	Northeast	Northeastern	Professional and business services	2001	4814.0
312	37029	CamdenCounty	Northeast	Northeastern	Management of companies and enterprises	2001	0.0
313	37029	CamdenCounty	Northeast	Northeastern	Administrative and support and waste management and remediation services	2001	2117.0
314	37029	CamdenCounty	Northeast	Northeastern	Educational services	2001	
315	37029	CamdenCounty	Northeast	Northeastern	Health care and social assistance	2001	
316	37029	CamdenCounty	Northeast	Northeastern	Arts, entertainment, and recreation	2001	
317	37029	CamdenCounty	Northeast	Northeastern	Accommodation and food services	2001	
318	37029	CamdenCounty	Northeast	Northeastern	Other services (except government and government enterprises)	2001	5608.0
319	37029	CamdenCounty	Northeast	Northeastern	Government and government enterprises	2001	16747.0
320	37031	CarteretCounty	Southeast	Eastern Carolina	Agriculture, forestry, fishing and hunting	2001	7508.0
321	37031	CarteretCounty	Southeast	Eastern Carolina	Mining, quarrying, and oil and gas extraction	2001	0.0
322	37031	CarteretCounty	Southeast	Eastern Carolina	Utilities	2001	7853.0
323	37031	CarteretCounty	Southeast	Eastern Carolina	Construction	2001	92100.0
324	37031	CarteretCounty	Southeast	Eastern Carolina	Manufacturing	2001	97496.0
325	37031	CarteretCounty	Southeast	Eastern Carolina	Wholesale trade	2001	47093.0
326	37031	CarteretCounty	Southeast	Eastern Carolina	Retail trade	2001	126990.0
327	37031	CarteretCounty	Southeast	Eastern Carolina	Transportation and warehousing	2001	18925.0
328	37031	CarteretCounty	Southeast	Eastern Carolina	Information	2001	26039.0
329	37031	CarteretCounty	Southeast	Eastern Carolina	Finance and insurance	2001	64739.0
330	37031	CarteretCounty	Southeast	Eastern Carolina	Real estate and rental and leasing	2001	296308.0
331	37031	CarteretCounty	Southeast	Eastern Carolina	Professional and business services	2001	89346.0
332	37031	CarteretCounty	Southeast	Eastern Carolina	Management of companies and enterprises	2001	17981.0
333	37031	CarteretCounty	Southeast	Eastern Carolina	Administrative and support and waste management and remediation services	2001	24878.0
