,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
72," ""37071""","Gaston, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,130071,120664,125497,133765,145945,161019,172407,169776,141849,123764,119184,132119,121181,131416,143913,167277,184301,219575
73," ""37071""","Gaston, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,39558,28994,24481,21300,23405,22360,25491,30285,22524,17516,18541,20634,17275,19380,21848,23366,23222,49023
74," ""37073""","Gates, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,(D),47,121,186,308,364,386,465,500,535,(D),979,(D),(D),(D),(D),(D),(D)
75," ""37073""","Gates, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,0,0,(D),(D),(D),(D),(D),172,148,(D),(D),(D),(D),(D),(D),121,149,185
76," ""37075""","Graham, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,16539,13519,(D),14295,15301,19224,23634,21017,15783,14663,16890,20138,17220,20630,30252,22468,23194,26925
77," ""37075""","Graham, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,3753,2186,2540,2812,3820,3789,4119,3378,2071,1865,1927,1308,1476,4419,5145,5953,7005,10277
78," ""37077""","Granville, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,23661,24587,22897,26947,29248,37819,37516,30703,31747,35023,30428,28242,28976,33442,37827,45158,48669,57945
79," ""37077""","Granville, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,4501,3907,4202,4479,4660,6752,6886,4845,9527,9845,7841,4888,5566,5589,5796,6691,8380,11585
80," ""37079""","Greene, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,7522,7714,8173,9499,9508,10175,11505,18974,15169,10801,10619,10781,9540,9679,10520,11642,12265,13516
81," ""37079""","Greene, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),(D),(D),(D),(D),1824,1673,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
82," ""37081""","Guilford, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,603860,579257,578572,633959,653897,697645,740674,712385,572601,509246,519028,510186,544866,591743,651730,697783,782339,841814
83," ""37081""","Guilford, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,150098,150545,137921,145612,162090,174570,189644,179361,148385,117038,114440,116613,124392,140081,161893,179998,193625,211772
84," ""37083""","Halifax, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,16880,17905,18074,21521,20835,24649,24083,24616,23149,19356,21503,18360,23013,24187,27307,26986,28804,32813
85," ""37083""","Halifax, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,3595,3768,4090,4354,4519,4775,5762,6084,3697,3098,2748,(D),(D),(D),(D),(D),3268,3304
86," ""37085""","Harnett, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,58729,62034,61465,69986,77415,91521,95962,84521,69847,66401,63606,69665,73951,81253,86554,89842,99534,99556
87," ""37085""","Harnett, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,7966,8474,8099,9436,13254,19427,19259,14194,14799,13303,13953,16164,21807,25643,26501,20808,21544,21233
88," ""37087""","Haywood, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,31564,32800,34594,36907,41999,46746,56906,53095,39320,33763,31063,28257,29184,31847,35275,38833,42499,43821
89," ""37087""","Haywood, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,9943,12278,13048,13805,14226,15013,17429,14315,11663,8862,8233,6442,7108,7216,8565,8907,8715,9596
90," ""37089""","Henderson, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,84115,84885,93975,98112,100857,114130,136797,121539,83896,71050,69067,72213,77705,82986,91779,98731,102630,113018
