,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
95," ""37093""","Hoke, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
96," ""37095""","Hyde, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,5506,4914,4989,5542,5721,5967,6295,6347,6378,7305,7131,7600,7851,7142,(D),7145,7683,7406
97," ""37095""","Hyde, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1995,1729,1499,1913,1986,1891,1932,2052,2124,2192,2108,2148,2268,1643,(D),1668,1934,1639
98," ""37097""","Iredell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,55808,59344,61672,71271,78726,92605,105078,105860,104078,106854,108285,113083,119447,126773,136339,140912,144495,154183
99," ""37097""","Iredell, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,7462,7145,7455,8438,10127,14331,13748,13923,14513,15201,13855,14343,14081,13966,16385,15467,16182,17428
100," ""37099""","Jackson, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,30155,27355,25586,27587,31116,34050,33325,33959,31611,34120,34563,36845,39284,43756,46159,48331,52808,60170
101," ""37099""","Jackson, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,9141,9287,9382,9124,9362,10127,11020,12527,10529,9813,10394,10152,10850,13014,14453,13553,14500,16613
102," ""37101""","Johnston, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,42292,43980,46200,51553,54421,59620,65192,72936,69670,65450,70286,75861,78594,80779,91498,99627,102010,107040
103," ""37101""","Johnston, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,4379,4346,4167,4155,4225,4738,4604,4997,4694,4803,6747,7436,8297,6401,6563,7162,7293,8342
104," ""37103""","Jones, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),(D),228,281,455,403,(D),(D),(D),1609,1493,1408,(D),(D),(D),(D),(D)
105," ""37103""","Jones, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,(D),0,0,0,0,0,0,0
106," ""37105""","Lee, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,20418,21546,21744,23108,26756,27023,25832,25455,27310,29322,29790,31415,33972,34651,37926,41425,44355,46596
107," ""37105""","Lee, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,2677,2229,2415,1728,1575,2003,1680,1449,1453,1594,1847,1812,1880,2191,2114,2161,2213,2136
108," ""37107""","Lenoir, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,22934,23090,22437,26559,26838,26174,28480,27253,27208,28450,27215,30564,31217,33415,34728,33992,36015,35684
109," ""37107""","Lenoir, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1311,1259,1308,1455,1446,1501,1597,1493,1399,1717,1680,2207,2138,2198,2168,2055,2397,1682
110," ""37109""","Lincoln, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,13431,14777,15888,19937,22995,24669,25573,27288,27642,27380,27733,29618,31264,34839,37804,40288,40902,41877
111," ""37109""","Lincoln, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),486,(D),(D),(D),758,(D),(D),(D),(D),(D),(D),(D),(D),916,(D),(D)
112," ""37111""","McDowell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,13466,14257,14137,15547,14823,15298,16354,21048,19390,20112,20669,22464,23018,23226,25365,25622,26435,27321
113," ""37111""","McDowell, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,2218,2144,2179,2366,1992,2311,2571,7033,5370,5795,5878,6940,7135,7017,7574,6997,6643,7254
114," ""37113""","Macon, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,15474,15686,16062,19290,20297,21481,22286,25189,25768,26610,27296,30092,30967,37309,43121,45567,47306,49410
115," ""37113""","Macon, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,3030,3199,3089,4772,5304,5890,5288,6502,6749,7103,7838,8543,9052,10247,11418,11952,12759,14332
116," ""37115""","Madison, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),(D),3319,4475,5065,5955,6151,6158,(D),5728,6334,6825,7356,7997,7380,7695,8147
117," ""37115""","Madison, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),(D),1296,1533,1662,2163,2407,2383,(D),2356,2834,3005,3191,3443,3422,3163,3236
118," ""37117""","Martin, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,7135,7933,8738,9491,9896,10614,10686,10307,10355,11864,(D),(D),12511,12095,12259,(D),(D),(D)
119," ""37117""","Martin, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1336,1894,1897,1711,1678,1438,1637,2273,1868,1474,(D),(D),1281,1558,1391,(D),(D),(D)
120," ""37119""","Mecklenburg, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,696687,690684,741315,824939,884592,971666,1044669,1076175,1039694,1104367,1120735,1241766,1277292,1388116,1492316,1580320,1711005,1846875
121," ""37119""","Mecklenburg, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,155250,147881,155630,162969,173887,173809,185403,189193,165866,175979,187761,205689,214762,233895,251423,259206,276372,288641
122," ""37121""","Mitchell, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,3114,2581,2867,4191,4111,4057,(D),(D),(D),(D),(D),5034,5320,5707,(D),(D),(D),(D)
123," ""37121""","Mitchell, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,838,741,645,(D),(D),(D),(D),(D),(D),(D),(D),559,563,586,(D),(D),(D),(D)
124," ""37123""","Montgomery, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,2766,2416,2559,3119,3165,3914,3905,3800,4541,4623,5017,5836,7252,7460,8302,9139,7904,7398
125," ""37123""","Montgomery, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,484,389,575,469,459,518,549,606,615,573,672,631,576,775,930,805,823,704
126," ""37125""","Moore, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,83868,89351,87054,90212,95077,95289,96404,97561,87376,86962,95912,103674,108816,118355,123014,127312,134566,147460
127," ""37125""","Moore, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,56753,59443,53867,56269,59731,57311,55294,56878,46752,45692,49987,52546,53691,58545,59748,60124,62636,67516
128," ""37127""","Nash, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,42719,48418,46242,46994,45770,50016,63184,65413,68758,73789,75205,80303,83629,88939,92694,92752,91861,94853
129," ""37127""","Nash, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,7648,8072,7499,6836,6467,7155,8090,8279,7747,7767,8364,9575,8974,9252,9582,8400,9208,10288
