,County	Collections	Data_Period_Business_Key
320,Haywood	3115780.0	2018M12
321,Henderson	4937823.0	2020M02
322,Henderson	4637574.0	2018M12
323,Henderson	4637574.0	2018M12
324,Henderson	4637574.0	2018M12
325,Henderson	4637574.0	2018M12
326,Henderson	4937823.0	2020M02
327,Hertford	842108.0	2018M12
328,Hertford	842108.0	2018M12
329,Hertford	943280.0	2020M02
330,Hertford	842108.0	2018M12
331,Hertford	842108.0	2018M12
332,Hertford	943280.0	2020M02
333,Hoke	897497.0	2018M12
334,Hoke	897497.0	2018M12
335,Hoke	897497.0	2018M12
336,Hoke	888809.0	2020M02
337,Hoke	897497.0	2018M12
338,Hoke	888809.0	2020M02
339,Hyde	148174.0	2018M12
340,Hyde	140491.0	2020M02
341,Hyde	140491.0	2020M02
342,Hyde	148174.0	2018M12
343,Hyde	148174.0	2018M12
344,Hyde	148174.0	2018M12
345,Iredell	9933889.0	2018M12
346,Iredell	9933889.0	2018M12
347,Iredell	9933889.0	2018M12
348,Iredell	9933889.0	2018M12
349,Iredell	9975298.0	2020M02
350,Iredell	9975298.0	2020M02
351,Jackson	2253304.0	2018M12
352,Jackson	2113117.0	2020M02
353,Jackson	2253304.0	2018M12
354,Jackson	2253304.0	2018M12
355,Jackson	2253304.0	2018M12
356,Jackson	2113117.0	2020M02
357,Johnston	7435333.0	2020M02
358,Johnston	7435333.0	2020M02
359,Johnston	8712216.0	2018M12
360,Johnston	8712216.0	2018M12
361,Johnston	8712216.0	2018M12
362,Johnston	8712216.0	2018M12
363,Jones	197178.0	2020M02
364,Jones	243224.0	2018M12
365,Jones	243224.0	2018M12
366,Jones	197178.0	2020M02
367,Jones	243224.0	2018M12
368,Jones	243224.0	2018M12
369,Lee	3462606.0	2018M12
370,Lee	3077666.0	2020M02
371,Lee	3462606.0	2018M12
372,Lee	3462606.0	2018M12
373,Lee	3462606.0	2018M12
374,Lee	3077666.0	2020M02
375,Lenoir	2264208.0	2020M02
376,Lenoir	2457719.0	2018M12
377,Lenoir	2457719.0	2018M12
378,Lenoir	2457719.0	2018M12
379,Lenoir	2264208.0	2020M02
380,Lenoir	2457719.0	2018M12
381,Lincoln	3542994.0	2020M02
382,Lincoln	3794934.0	2018M12
383,Lincoln	3542994.0	2020M02
384,Lincoln	3794934.0	2018M12
385,Lincoln	3794934.0	2018M12
386,Lincoln	3794934.0	2018M12
387,Macon	1832662.0	2020M02
388,Macon	2152599.0	2018M12
389,Macon	2152599.0	2018M12
390,Madison	453124.0	2020M02
391,Madison	450440.0	2018M12
392,Madison	450440.0	2018M12
393,Martin	895912.0	2018M12
394,Martin	746790.0	2020M02
395,Martin	895912.0	2018M12
396,McDowell	1471903.0	2020M02
397,McDowell	1478314.0	2018M12
398,McDowell	1478314.0	2018M12
399,Mecklenburg	93445565.0	2018M12
400,Mecklenburg	93445565.0	2018M12
401,Mecklenburg	92117267.0	2020M02
402,Mitchell	598352.0	2020M02
403,Mitchell	627251.0	2018M12
404,Mitchell	627251.0	2018M12
405,Montgomery	878992.0	2018M12
406,Montgomery	878992.0	2018M12
407,Montgomery	813344.0	2020M02
408,Moore	5363535.0	2018M12
409,Moore	5363535.0	2018M12
410,Moore	5350274.0	2020M02
411,Motor Vehicle Lease (Short-Term)	0.0	2020M02
412,Motor Vehicle Leasing	0.0	2018M12
413,Motor Vehicle Leasing	0.0	2018M12
414,Nash	4657177.0	2018M12
415,Nash	4657177.0	2018M12
416,Nash	4158786.0	2020M02
417,New Hanover	21004487.0	2018M12
418,New Hanover	18534443.0	2020M02
419,New Hanover	21004487.0	2018M12
420,Northampton	420391.0	2018M12
421,Northampton	369944.0	2020M02
422,Northampton	420391.0	2018M12
423,Onslow	8388651.0	2020M02
424,Onslow	9974686.0	2018M12
425,Onslow	9974686.0	2018M12
426,Orange	7460431.0	2018M12
427,Orange	7460431.0	2018M12
428,Orange	7587630.0	2020M02
429,Pamlico	399086.0	2018M12
430,Pamlico	399086.0	2018M12
431,Pamlico	352656.0	2020M02
432,Pasquotank	1938785.0	2020M02
433,Pasquotank	2096762.0	2018M12
434,Pasquotank	2096762.0	2018M12
435,Pender	1835888.0	2020M02
436,Pender	2060463.0	2018M12
437,Pender	2060463.0	2018M12
438,Perquimans	256250.0	2018M12
439,Perquimans	256250.0	2018M12
440,Perquimans	284726.0	2020M02
441,Person	1222455.0	2020M02
442,Person	1438962.0	2018M12
443,Person	1438962.0	2018M12
444,Pitt	10182233.0	2018M12
445,Pitt	9763391.0	2020M02
446,Pitt	10182233.0	2018M12
447,Polk	576400.0	2018M12
448,Polk	576400.0	2018M12
449,Polk	571556.0	2020M02
450,Randolph	4936551.0	2018M12
451,Randolph	4936551.0	2018M12
452,Randolph	4660790.0	2020M02
453,Richmond	1513842.0	2020M02
454,Richmond	1555387.0	2018M12
455,Richmond	1555387.0	2018M12
456,Robeson	3972428.0	2020M02
